,name,sku,price
1215,2276cc Turnkey VW Engine, AE2276TKFK7044.4,"$9,750.00"
1216,4 Puck VW Racing Clutch Disc, 00-4091,$82.99
1217,Empi Heavy Duty VW Clutch Kits, 32-1256-B,$139.99
1218,Sachs Heavy Duty VW Pressure Plates, 32-1234-B,$99.99
1219,Sachs Type 2 VW Heavy Duty Clutch Discs, 32-1265-B,$199.99
1220,Heavy Duty VW Clutch Disc, 32-1240,$23.99
1221,Kennedy VW Performance Clutches, 00-4090,$149.99
1222,Empi Performance VW Pressure Plates, 00-4080,$85.99
1223,Empi Super Duty VW 200mm Clutch Disc, 00-4085,$27.99
1224,Replacement VW Pressure Plates, 32-1241-B,$45.99
1225,Empi Kush-Lok VW Clutch Disc, 00-4096,$59.99
1226,Kush Lock 200mm VW Clutch Disc, 16-9900,$39.99
1227,6 Puck VW Racing Clutch Disc, 16-9901,$79.99
1228,4 Puck VW Racing Clutch Disc, 00-4091,$82.99
1229,Heavy Duty VW Throw Out Bearings, 32-1205,$13.99
1230,VW Replacement Clutch Bolt Set, B409020,$7.59
1231,VW Clutch Installation Kit, 32-1204,$8.99
1232,14mm VW Style Lug Bolt With 17mm Head And Ball Seat, 70-2863,$10.95
1233,1776cc or 1915cc Turnkey VW Engine, AE1776TK10011,"$8,085.00"
1234,2007cc or 2028cc Turnkey VW Engine, AE2007TK100.1,"$9,085.00"
1235,2110cc Turnkey VW Engine, AE2110TK100,"$9,178.00"
1236,2276cc Turnkey VW Engine, AE2276TKFK7044.4,"$9,750.00"
1237,4 Puck VW Racing Clutch Disc, 00-4091,$82.99
1238,VW bus Transmission Mount, 17-2537,$22.99
1239,VW Type 1 Bug Solid Transmission Mounts, 00-9518,$19.99
1240,VW transmission Center Support, 17-2536,$32.99
1241,VW Type 1 Bug Heavy Duty Solid Trans Mount Kit, 00-9530,$27.99
1242,VW Heavy Duty Rear Gear Box Cradle, 18-1106,$22.99
1243,VW Bus IRS Transmission Into Bug Kit, 00-3195,$58.99
1244,VW Type 1 Bug Transmission Support Kit, 00-9527,$79.99
1245,VW Type 1 Bug Deluxe Padded Transmission Support Kit, 00-9550,$56.99
1246,VW Padded Transmission Support Kit, 00-9541,$69.99
