,title,price,code
102,"""Easy Rider"" Transaxle Warranty Upgrade",250.00,EASY-RIDER-TRANS
103,Luggage Rack Drain Hole Screen Kit,4.95,LR-SCREENS-KIT
104,GoWesty Stainless Muffler and Saddle Bundle,325.95,MUFFLER-BUNDLE-INT
105,Swivel Seat Bushing Set,39.95,SWIVEL-BUSH-SET
106,Steyr Puch Decal,7.95,STEYR-PUCH-GN
107,Knob for Additional Heater,12.95,253-959-487B
108,Luggage Rack Reconditioning Bundle,104.45,LUG-RACK-BUNDLE
109,Fender Flare Kit,508.95,PFR001
110,Long Pipe for 1.9L Engine Case,SOLD OUT,025-121-180A
111,Upper/Lower Sliding Door Bearing,7.95,251-843-425A-AM
112,Sway Bar End Link (Early Model),49.95,251-411-051
113,Flex Funnel,7.95,05060
114,External Lock Ring Pliers,18.95,2534
115,Cruise Control Cancelling Switch,29.95,GVW-811-907-343B
116,Headliner Bracket Kit,19.95,HEADLINER-BRKT-KIT
117,GoWesty Opinion of Value Report,249.95,OVR
118,Sway Bar End Link (Late Model),59.95,251-411-051A
119,Drain Valve,24.95,113698-01-000
120,Yakima Front Loader Upright Bike Rack,209.95,2103
121,Adapter for Shifter Accessories,9.95,SLE-ADAPTER
122,Camper Love Mandala Organic T-Shirt (Women's),13.95,WW-123
123,Syncro Driveshaft Drive Flange,149.95,GVW-DS-FLANGE
124,Boot/Coupler for Intake,17.95,025-129-626A-SIL
125,Texture Coating Kit,179.95,BED-LINER
126,Gowesty Fuel Injection Component Replacement Kit,SOLD OUT,GW-EFI
127,Radiator Baffle Set (Left/Right/Bottom),41.45,RAD-BAFFLE-SET
128,Under Carpet Insulation Pad Set,77.95,35-010
129,Safety Clip for Pop-Top Strut,0.95,SC-1008
130,1970 Owner's Manual,9.95,GVW-0070
131,Bolt and Cap Replacement for Front Seat Belt,1.95,BOLT-CAP-KIT
132,Vanagon Front Grille Keychain,5.95,GRILLE-KEYCHAIN
133,Cluster Harness Illumination LED Replacement Kit,15.95,LED-CH
134,GoWesty Fuel Injector Bundle,SOLD OUT,INJECTOR-BUNDLE
135,Fuel Injector Seal & Grommet Kit,4.95,INJECTOR-SEALS-BUNDLE
136,"Hose, Front Brake, L/R",9.95,251-611-775A
137,Permatex 518 Gasket Maker,9.95,889-457
138,Vent Panel for Right Front Door,42.95,251-837-890
139,GoWesty Signal Filter for Air Flow Meter,61.95,GVW-025-906-302A
140,Rebuilt Air Flow Meter,224.95,0-280-202-079X
141,Rear Heater Delete Kit,9.95,REAR-HEAT-DELETE
142,Complete Weekender Carpet Kit,319.95,GVW-8090W-11
143,Westafari Luggage Rack Decal,1.95,WESTAFARI-HORSE
144,Aluminum Manual Transaxle Differential Case,495.00,ALUM-DIFF
145,Engel MR40 Fridge/Freezer,849.96,MR40
146,GoWesty Vehicle Speed Sensor,29.95,VSS-VANAGON
147,GoWesty Grocery Tote (Large),3.95,WP-TOTE-USA
148,Westy Life Baseball Tee,20.95,WW-126
149,"Body Panel, Right, Lower Door Frame",149.95,251-809-244
150,Clutch Slave Cylinder Hose [Syncro],19.95,251-721-479F-GW
151,"Body Panel, Left, Lower Door Frame",149.95,251-809-243B
152,Window Insulation Set,135.95,THERMO-SET
153,Window Insulation Set,135.95,THERMO-SET
154,Shifter Storage Console,336.95,CONSOLE
155,Aisle Trim Piece Kit,29.95,AISLE-TRIM-KIT
156,Thermostat Housing Bundle,81.95,THERM-HSNG-BUNDLE
157,Front Door Trim Panel Set in Vinyl,399.95,FP-VINYL
158,Westafari Westfalia-Style Sticker,2.95,WESTAFARI
159,Timing Set Decal,3.95,GW-105
160,Sliding Door Bearing for Center Hinge,2.95,251-843-423A-AM
161,Locking Strap for Cargo Tray,49.95,LOCKSTRAP
162,Instrument Cluster Mounting Tab Kit,9.95,CLUSTER-TAB-KIT
163,Shifter Tab Repair Kit,29.95,GVW-SHIFTER-TAB-KIT
164,Keyless Remote (for Keyless Entry System),14.95,KEYLESS-REMOTE
165,Extra Heavy Duty Bilstein Shock Absorber Set,715.95,BIL-EV-BNDL-XHD
166,Extra Heavy Duty Bilstein Shock - Front,163.95,B46-0820-XHD
167,Extra Heavy Duty Bilstein Shock - Rear,163.95,B46-0830-XHD
168,Extra Heavy Duty Bilstein Shock Absorber Set,615.95,BIL-VANO-BNDL-XHD
169,Extra Heavy Duty Bilstein Shock Absorber - Front,193.95,B46-1911-XHD
170,Speedometer Assembly [KPH - Syncro],204.95,251-957-055BPX
171,Add-On Radiator Fan and Engine Ground,12.95,RAD-GROUND
172,GoWesty 2450cc Engine Kit,2904.95,GVW-2450-KIT
173,Locker Servo Bracket,19.95,094-301-142SS
174,Spray-On Texture Coating for GoWesty Bumpers & Accessories,11.95,TEXTURE-SPRAY
175,"""Kung Foon"" Utensil",14.95,61000
176,Storage Box for Swing-Away,SOLD OUT,GW-STORAGE-BOX
177,Rear Lower Spring Pad,9.95,251-511-139GW
178,High Efficiency A/C Condenser,SOLD OUT,VANO-COND
179,Bra,225.95,PR-1816
180,Rockford CV Boot,18.45,211-501-149-RF
181,Heat Shield for Fuel Tank,99.95,HEAT-SHIELD
182,Automatic Transmission Bushing Kit (Vanagon),35.95,AT-BUSHING-KIT
183,"""The VW Groovy Bus"" Puzzle (2000 Pieces)",SOLD OUT,8220-0783
184,Gear Oil - 1 QT (75W90 GL-5),16.95,GL5-75W90
185,Fridge Vent Cover for Fridge-B-Gone,9.95,GVW-FRIDGE-VENT-COVER
186,Circle the Wagens Sticker,1.95,CIRCLE-WAGENS
187,Buffalo Westy Sticker,2.95,BUFFALO-ROAM
188,Van Lineup Sticker,0.95,VAN-LINEUP
189,Yakima Roof Rack Bundle,360.95,GVW-RACK-HT-EV
190,Yakima Roof Rack Bundle,480.95,GVW-RACK-HT-VANO
191,"""Not All Who Wander Are Lost"" Handcrafted Keychain",19.95,WANDER-KEYCHAIN
192,Throttle Body,279.95,022-133-062AB
193,Alternator,409.95,AL0729X
194,Rear Wiper Washer Reservoir,34.95,251-955-453E
195,Yakima Roof Rack Bundle,480.95,GVW-RACK-HT-BUS
196,Wiper Shaft (Right),49.95,251-955-216
197,Locking Hardware Kit for Road Shower,72.95,ROADSHOWER-LOCK
198,Window Blind Mounting Bracket,14.95,GVW-097565-02-000
199,Replacement Suction Cups for Thermo Mat Sets,10.95,THERMO-CUP
200,VW Man Pin,4.95,ZCP-904-305
201,Yakima Low Rise Spacer Kit (Pair),22.45,GW-1101-LOW-RISE
202,Replacement Clip for GoWesty ABS Panels,1.95,CLIP
203,Syncro Front Skid Plate - OE,599.95,251-703-791
204,Front Door and Pillar Grab Handle,19.95,251-867-161
205,Coolant Hose (Coolant Expansion Reservoir to Outer Water Pipe),6.95,025-121-058H
206,4-in-1 Dual Port USB Car Charger w/Voltmeter,8.95,VEC-010
207,Awning Anti-Rattle Strap,3.95,ANTI-RATTLE-STRAP
208,"O-Ring, Base of Cylinder",1.95,N-901-683-01
209,Battery Ground Cable,19.95,251-971-235C-GW
210,Engine Ground Cable,9.95,859-971-233-GW
211,Interior Paint,14.95,GVW-INT-PAINT-VANO
212,Hub Conversion Kit for Big Brakes,365.95,GW-2WD-HUB-KIT
213,Transmission Ground Cable,11.95,251-971-237-GW
214,"O-Ring, Thermostat Housing to Pipe",1.49,N-101-392-01
215,Power Steering Pump Rebuild Kit,39.95,026-198-049A
216,Front Differential Skid Plate for Syncro,79.95,GVW-SKIDPLATE-DIFF
217,Transmission Skid Plate for Syncro,109.95,GVW-SKIDPLATE-TRANS
218,Transmission Underrun Bar Supports for Syncro,43.95,GVW-SKIDPLATE-SUPPORTS
219,Center Skid Plate [Syncro],89.95,GVW-SKIDPLATE-CENTER
220,Assist Strap,6.95,113-898-611E
221,Reverse Light Switch,9.95,085-941-521
222,Front Seat Cover Cap (Right Side),15.95,251-881-478-OE
223,Replacement Battery for Keyless Remote,1.59,CR2016
224,Water Jacket Seal,13.95,025-101-345
225,GoWesty Alternator Bracket Fix Kit,SOLD OUT,GVW-ALT-FIX-MS-KIT
226,Blazecut Fire Suppression System,300.00,BLAZECUT
227,"""Westy Life"" Postcard Bundle",7.95,POSTCARDS
228,Fox Shock Kit for Eurovan,715.95,FOX-EV-BNDL
229,Laundry Reel,4.95,159279
230,Tie-Down Hooks for GoWesty Storage Box,33.95,GW-STORAGE-BOX-HOOK-KIT
231,Air Compressor Hose Kit (ARB),49.95,171302-GW
232,GoWesty Fuel Injector,SOLD OUT,GVW-0-280-150-206
233,Collapsible Camp Bucket,17.95,032292
234,Hi-Amp Battery Connection Kit,254.95,GVW-BATTERY-PLUG
235,Go-Van Bon Voyage Travel Notebook,15.95,BON-VOYAGE-NB
236,Hall Sensor Assembly Kit for Distributor,159.95,1-237-010-027
237,Brake Line Holder Clip,2.95,291-611-767
238,Electronic Ignitor for Westy Fridge (Aftermarket),59.95,293-113-2019
239,GoWesty Camper LED Panel,61.45,GVW-CAMP-LED-PANEL
240,Intake Manifold Hose,4.95,039-133-241
241,Bulb Holder for Hazard Flasher / Fog Light Switch,4.95,141-957-397A
242,Replacement Straps for Eurobag,8.95,EUROBAG-STRAP
243,Telescopic Ladder,91.95,GW-TEL-LADDER
244,Not For Sale Sticker,1.95,FOR-SALE
245,Syncro Only Sticker,1.95,SYNCRO-ONLY
246,Reverse Spare Tire Carrier Storage Kit,119.95,RSTC-STORAGE
247,GoWesty Dry Bag (10L),19.95,GW-DRYBAG
248,Front Differential Lock Decal,7.95,251-010-094
249,Sun Visor Socket Replacement Kit,30.95,GVW-VISOR-SOCKET-KIT-BK
250,GoWesty Alloy Wheel Center Cap,5.95,CENTERCAP-AL
251,"Moon-Style Hubcap for 16"" GW Steel Wheel",12.95,MOONCAP-ST
252,Throttle Cable Housing,14.95,251-723-551C
253,Gerber Gorge Folding Shovel,22.95,377870
254,"""Checking In"" Archival Print",29.95,CHECKING-IN
255,"""Devils Gate"" Archival Print",29.95,DEVILS-GATE
256,Power Mirror Glass Replacement (German OEM),69.95,251-857-521
257,CV Axle Boot Bundle,142.95,CV-BOOT-BNDL
258,"Loop Strap , 9'",9.95,024702
259,"""El Rojo Ojo"" Archival Print",29.95,ROJO-OJO
260,"""Plan B"" Archival Print",29.95,PLAN-B
261,"""Last Turn"" Archival Print",29.95,LAST-TURN
262,"""Made It"" Archival Print",29.95,MADE-IT
263,"""Perfect Problem"" Archival Print",29.95,PERFECT-PROBLEM
264,Dark Side of the Bus T-Shirt,23.95,WW-138
265,Coolant Bleed Ring Replacement Kit,31.95,GVW-025-121-045
266,ABS Rear Hatch Panel,94.45,HP-ABS
267,Sticker Bundle,11.45,GW-GIFT-STICKER
268,Replacement Kit for Printed Circuit Foil,SOLD OUT,GVW-255-919-059
269,ABS Front Door Kick Panels,14.95,KP-ABS
270,Beverage Gift Bundle,20.95,GW-GIFT-BEV
271,4-Piece Coaster Set,4.95,WP-COASTER
272,Shifter System Overhaul Bundle,SOLD OUT,VANO-SHIFTER-BNDL
273,Striker Plate for Front Door,19.95,251-837-295B
274,"""Checking In"" Archival Print",29.95,CHECKING-IN
275,"""Devils Gate"" Archival Print",29.95,DEVILS-GATE
276,"""El Rojo Ojo"" Archival Print",29.95,ROJO-OJO
277,"""Plan B"" Archival Print",29.95,PLAN-B
278,"""Last Turn"" Archival Print",29.95,LAST-TURN
279,"""Made It"" Archival Print",29.95,MADE-IT
280,"""Perfect Problem"" Archival Print",29.95,PERFECT-PROBLEM
281,Vacuum Tank for Differential Lock,74.95,058-131-541
282,Cap for Stash Knob (2WD/4WD),12.95,STASH-CAP
283,Pop-Top Lift Assist/Replacement,139.95,GVW-EV-TOP-LIFT
284,Heavy Duty Bilstein Shock Absorber Set,520.95,BIL-EV-BNDL-HD
285,2WD Ring & Pinion Set,1199.95,2WD-R&P-4.57-4SPD
286,Westylife Campfire Sticker,0.95,CAMPFIRE
287,"16"" Steel Wheel & Tire Package [2WD & Syncro]",1925.95,GVW-WTP-1630-BFG-W
288,Governor Seal Bundle,14.95,AT-GOV-SEAL-BUNDLE
289,GoWesty Audible Coolant Temp Alarm Kit,40.95,GVW-COOL-ALARM-KIT
290,ABS Interior Panel Bundle for Westfalia,526.45,ABS-BUNDLE
291,"Cinch Strap, 9'",5.95,085491
292,"Bow/Stern Straps, 8'",6.95,075100
293,ARB Shade Awning,349.95,814410
294,Screen Room for ARB Awning,221.95,813108A
295,Clips for Rotopax (Pair),6.95,ROTO-BRACKET
296,Front Floor Mat & Pad Bundle,SOLD OUT,FLOOR-MAT-BNDL
297,"""Volkswagen"" Emblem for Rear Hatch",32.95,253-853-685
298,Oil Pressure Switch Socket Tool,9.95,OIL-SWITCH-SOCKET
299,Flywheel Shim (Various Sizes),9.95,021-105
300,CV Joint,57.95,211-501-331B
301,Power Window Regulator,123.95,251-837-46
302,GSI Kitchen Tool Set,54.95,90104
303,Clutch Cross Shaft Bushing Kit,29.95,091-198-026
304,Universal Shifter Joint for Gear Linkage,5.95,251-711-551-AM
305,Jolly Camper Sticker,1.95,JOLLY
306,GoWesty Upper Control Arm Bushing (Full Set),173.95,GVW-251-407-077-KIT
307,Transaxle Rebuild Kit [Syncro],917.95,MT-KIT-SL
308,Recycled Denim Interior Insulation,10.45,DENIM-INS
309,"Heavy Duty ""Finned"" Rear Brake Drum",101.95,GVW-251-609-615-P
310,Manual Transaxle Rebuild Kit,714.95,MT-KIT-2WD
311,Bulli Pickup Model Car,34.95,901246
312,Bilstein Rear Shock - Syncro,119.95,251-513-031D
313,VW Peace T-Shirt,18.95,WW-139
314,GoWesty Keyless Entry Kit,SOLD OUT,GVW-AFT-KEYLESS
315,LED Rear Side Marker Lens,17.95,GVW-321-945-361A
316,Dubway Sticker,2.95,DUBWAY
317,VW Hands Sticker,1.95,VW-HANDS
318,ABS Sliding Door Panel,86.45,SDP-ABS-BK-EARLY
319,Eurovan Lift Kit for Non-Winnebago Vehicles [93-03],2384.95,WTP-LIFT-9303
320,VW Retro Sticker,2.95,VW-RETRO-B
321,Low Pressure Power Steering Hose Kit,49.95,GVW-251-422-887
322,CV Joint Bundle,677.95,CV-JOINT-BNDL
323,"Hitch Safe for 2"" Receiver",57.95,HS7000
324,Bilstein Shock Absorber Set  - Syncro,449.95,BIL-SYNCRO-BNDL
325,Bilstein Front Shock - Syncro,119.95,251-413-031C
326,Buffalo Westy T-Shirt,20.95,WW-140
327,GoWesty Rear Heater Core Valve,52.95,GVW-867-819-809
328,#westylife Sticker,2.95,WESTYLIFE
329,Moving at the Speed of SLO Sticker,2.95,SLO-LIFE
330,Oil Splash Plates (Pair),59.95,GVW-SPLASH-AM
331,GoWesty Bigger Brakes,560.95,GW-V-BIGGER-BRAKES
332,Weekender Bench Seat Kick Panel,99.95,255-070-204F
333,Rear Side Marker Gasket,5.95,251-463-826
334,Shift Lever Extension,25.45,GW-SLE-14MM-KIT
335,Radius Rod Spacer Sleeve,SOLD OUT,251-407-097-SS
336,Syncro Drive Shaft [NEW],349.95,251-521-101DK
337,Salt and Pepper Shaker,5.95,79500
338,Gourmet Pepper Mill,10.95,79490
339,Stereo Keyed Power Toggle Kit,19.95,RADIO-TOGGLE
340,Replacement 2WD Rear and Syncro Front and Rear Wheel Stud,7.95,WHEELSTUD
341,VW Hands Sticker,1.95,VW-HANDS
342,Weekender Bench Seat Kick Panel,99.95,255-070-204F
343,Armrest Pivot Bracket Fix [Eurovan],10.45,EV-ARMREST-FIX
344,Pop-Top Seal (80-91),109.95,253-070-708
345,Speedometer Cable,SOLD OUT,251-957-803
346,Coolant Hose (Radiator to Thermostat),34.95,025-121-062E-AM
347,Middle Side Window Seal - RH (w/o Groove),SOLD OUT,253-845-322-GR
348,High Beam Assembly - Passenger Side,81.45,BCW-941-782
349,Rotopax Pack Mount Extension,29.95,RX-EXT
350,Rotopax 2 Gallon Gasoline Pack (Red),69.95,RX-G
351,Cylinder Head Stud (222mm),19.95,025-101-143
352,Cylinder Head Stud (191mm),19.95,025-101-143A
353,Cylinder Head Stud (175mm),19.95,025-101-143B
354,Pop-Top Seal [Eurovan Weekender],61.95,113451-07
355,Headlight Warning System,6.95,LIGHTS-R-ON
356,Supplemental Kit for GoWesty Pop-top Load Assist,50.95,GW-V-TOP-LOAD-ADD
357,VW Peace Sticker (3x3 inch),2.49,VWPEACE
358,Voltminder Battery Alarm / Monitor,46.95,VOLTMINDER
359,Fluorescent Light,36.95,15311
360,Ultratect Cover [No Spare],359.95,C9999
361,Hi-Lift Jack Neoprene Cover,SOLD OUT,GVW-HILIFT-NJC
362,"""Road Warrior"" Engine Warranty Upgrade",500.00,ROAD-WARRIOR-ENGINE
363,"""Easy Rider"" Engine Warranty Upgrade",250.00,EASY-RIDER-ENGINE
364,Programmable Intermittent Wiper Relay,35.95,3B0-955-531
365,Rear Heater T-Fitting and Hose Replacement Kit,29.95,REAR-HEATER-HOSE
366,Stainless Steel Brake Hose (Front),27.45,251-611-775B-SS
367,Muffler Strap (Stainless Steel),19.95,025-251-521-SS
368,Muffler Strap (Stainless Steel),20.95,025-251-521C-SS
369,Stainless Steel Brake Hose (Rear),25.45,433-611-775A-SS
370,Hose for Crankcase Breather Tower,9.95,N-900-725-01
371,Pop-Top and Luggage Rack Seal Kit [Winnebago],127.95,113451-05
372,Luggage Rack Seal,22.95,113451-03
373,Syncro Fuel Sender Gasket,24.45,251-919-133-GW
374,High Beam Assembly - Driver Side,81.45,BCW-941-781
375,Escutcheon/Trim for Sliding Door Handle,SOLD OUT,251-843-711
376,Red Line Synthetic Motor Oil - 1QT (5W40),12.95,REDLINE-5/40
377,Knob for Decoupler  (Various Bus Uses),2.95,111-955-541C
378,Replacement Cord (12V) for Engel Refrigerator,29.95,1912-404
379,Trasharoo Spare Tire Storage Pack,49.95,878-2
380,2WD Decal,5.95,GVW-2WD
381,Power Mirror Glass Fix Kit,31.95,PWR-GLASS
382,Dual 3-Point Seat Belt Kit,199.95,KT122-EVC
383,Prerunner Decal,9.95,GVW-PRERUNNER
384,Idle Control Unit - Rebuilt,SOLD OUT,251-907-393DX
385,Axle Nut Tool,10.95,5749
386,LED Bulb Kit for Westfalia,35.95,LED-INT-LATE
387,LED Bulb Kit for Instrument Cluster,12.95,LED-IC
388,LED Bulb Kit for Automatic Shifter,29.95,LED-AUTO
389,Locking Strap for Luggage Cargo Box,49.95,GVW-1720-STRAP
390,Front Wheel Bearing Kit,57.95,WBF-2WD-80-83.5
391,Air Horn Kit,81.95,GVW-AIRHORN-KIT
392,Rear Hatch Strut [Vanagon],16.45,VANO-HATCH-STRUT
393,Rear Wheel Bearing Kit,91.95,WBR-ALL
394,Red Line CV-2 Grease (14oz. Jar),13.45,REDLINE-GREASE
395,Rear Brake Drum Overhaul Kit,295.95,VANO-REARBRAKE-BNDL
396,Go Girl Female Urination Device,9.95,G152
397,"16"" Wheel & Tire Package [2WD]",2045.95,GVW-WTP-1623-BFG
398,Stove Knob,11.95,255-070-601
399,Westfalia Stove Panel Decal,4.95,SPD
400,"Drain Cap for Fresh Water Tank, 34mm",SOLD OUT,253-067-285A
401,Trickle Charger Solar Panel,SOLD OUT,320-246
402,Fuel Tank Balance Tube Assembly-OEM,30.95,251-201-147B-AM
403,Seat Belt Receiver,SOLD OUT,RC-CABLE-15-ERA
404,Clutter Catcher Center Console,89.95,GVW-5001
405,Fuel Tank Re-Seal Kit - Syncro,217.95,VANOTANK-SYNCRO
406,Fiamma F45 Compact Awning Crank,49.95,0175
407,Fiamma F45S Awning,928.95,F45S
408,Dometic RC160E Refrigerator Manual,5.95,GVW-RC160E
409,Yakima Ripcord Locking Surfboard Strap (Pair),109.95,4048
410,Seal Kit for Front Roll-Up Windows,82.95,ROLLUP-RESEAL
411,Repair Kit for Fiamma Awning Fabric,18.95,98655-466
412,Oetiker Pincer Pliers,SOLD OUT,EP1098
413,Temperature Gauge Calibration Kit,23.95,TEMP-ADJUST-KIT
414,Socket for Front Torsion Bar,43.95,EV-ALIGNTOOL
415,Fiamma F45i Awning Mounting Kit for Roof Rack Systems,119.95,98655-310
416,Bushing for Steering Rack,4.95,251-419-081
417,Boot for Steering Gear,7.95,251-419-831A
418,High Pressure Power Steering Hose,SOLD OUT,251-422-893C
419,Steering Rack (Non-Power),SOLD OUT,251-419-061
420,Bushing Sleeve for Front Shock,7.95,251-413-439C
421,Coolant Temperature Gauge Sensor,6.95,049-919-501
422,Syncro Fuel Level Sender,78.95,251-919-051H-AM
423,Recaro Adapter / Slider Kit,129.95,SLIDER
424,Pressure Switch for Power Steering,SOLD OUT,255-919-081
425,Steering Coupler Bushing,4.95,803-419-775B
426,Sway Bar & Shock Mount Bushing,5.95,411-513-121
427,Lower Ball Joint,49.95,701-407-361B
428,Contact Switch,3.95,113-947-561
429,Rear Trailing Arm Bushing,9.95,251-501-131A
430,Bushing for Sway Bar Link (19mm or 21mm),6.95,251-411-045
431,Folding Cup Holder,15.45,CUP-MV-GY
432,"Radius Rod Bushing, Rear",9.95,251-407-175
433,Sway Bar End Link Bushing,6.95,251-411-039
434,Reverse Light Switch,5.95,020-941-521A
