,name,sku,price
102,Head Gasket: 1.6L Diesel and Turbo Diesel Mechanical 2 Notch, 1186,21.95
103,Engine Rebuild Kit: 1.6D Turbo Diesel w/Hydraulic Head.  Base Kit plus a Cyl head., 20638,899.95
104,Camshaft Locking Plate: VW Diesels through 77-97, 3506,19.95
105,"Injection Pump: 1.9L Turbo Diesel, Jetta, Golf, 1993-1996 - Reman", 41162,999.95
106,Mount Kit: Jetta & Golf 93-99.5 - Engine and Trans, 18751,99.95
107,Main Bearing Set: Gas & Diesel 4 Cyl engines 87-04 - Standard Size, 18874,49.95
108,Hylomar: Aerosol Gasket Spray and Thread Sealant, 18945,29.95
109,Injector: 1.5L Diesel - Reman, 1423,42.95
110,Piston Ring Set: 1.9L TDI 93-06 - Standard Size, 20184,38.95
111,Main Bearing Set: Gas & Diesel 4 Cyl engines 75-86 - Standard Size, 1577,49.95
112,"Oil Filter: All VW 4 Cylinder Diesel and Turbo Diesel 79-95, Passat 1.8 Turbo 98-05", 1315,7.95
113,"Turbocharger: 1.9TD (AAZ); Jetta, Golf, Passat 93-96 - K14, Reman", 41603,999.95
114,"Piston Set: 1.9L Turbo Diesel (AAZ) - +.040""/1mm Oversize", 17784,499.95
115,"Piston Set: 1.9L Non-Turbo Diesel - +.040""/.1mm Oversize.", 21090,499.95
116,Glow Plug Fuse Box: All Diesels 77-92, 35229,39.95
117,Oil Pan: 5Qt For Most 4 Cyl. VWs 80-99.5, 1197,24.95
118,"Oil: High Performance 5w40 Synthetic Oil - Case of 18, Save $20", 21273,159.95
119,Mount Kit: Jetta & Golf 1.6D 85-92; 16V 87-88 -  Engine and Trans, 18741,59.95
120,Triple Square Bit Set: 4mm-18mm, 23502,59.95
121,Head Gasket: 1.9L Diesel & Turbo Diesel - 3 Notch, 16667,39.95
122,Oil: High Performance 5w40 Synthetic Oil - 1 Liter, 21261,9.95
123,Connecting Rod Bearing Set: 1.6L Diesel 81-92 - Standard size, 1601,21.95
124,Head Gasket: 1.6L Diesel Hydraulic - 3 Notch, 4374,25.95
125,"Valve Cover Gasket: 1.5L, 1.6L, 1.7L, 1.8L Gas and Diesel 8V Engines 75-92", 1521,3.95
126,"Oil: High Performance 5w40 Synthetic Oil - Case of 12, Save $10", 22761,109.95
127,Connecting Rod Bearing Set: 1.9L Diesel/Turbo Diesel/TDI - Standard Size, 17824,39.95
128,"Injection Pump: 1.6L Turbo Diesel, Rabbit, Jetta, Golf 83-86 - w/o Idle Speed Boost, Reman", 1416,599.95
129,Diesel Fuel Conditioner: Stanadyne, 20653,9.95
130,Vacuum Pump Rebuild Kit: Diaphram type for Diesels 77-84, 1613,11.95
131,Water Pump Gasket: Most Water Cooled VWs 75-01 - Heavy Duty, 34042,14.95
132,"Engine Rebuild Kit: 1.6D Turbo Diesel w/Mech Head.  Base Kit and a +.020"" Piston set.", 22040,749.95
133,Instrument Cluster Regulator: Many VWs 80-92, 12874,49.95
134,Oil Pan: Jetta & Golf Turbo Diesel 85-92, 24023,119.95
135,"Glow Plug Relay: 1.5L Diesel Rabbit, Jetta 77-80, 1.6L Turbo Diesel Rabbit, Quantum, Jetta 82-92 - Slow", 3418,38.95
136,"Engine Rebuild Kit: 1.6D Turbo Diesel w/Hydraulic Head.  Base Kit plus a +.020"" Piston set.", 20986,799.95
137,"Engine Rebuild Kit: 1.6D Diesel w/Mech Head, 12mm Head Bolts.  Base Kit plus a +.020"" Piston set.", 20509,799.95
138,"Engine Rebuild Kit: 1.6D Diesel w/Hydraulic Head.  Base Kit plus a +.020"" Piston set.", 20856,799.95
139,"Engine Rebuild Kit: 1.6D Diesel w/Hydraulic Head.  Base Kit plus a +.040"" Piston set.", 21053,799.95
140,"Engine Rebuild Kit: 1.6D Turbo Diesel w/Hydraulic Head.  Base Kit and a +.040"" Piston set.", 21084,799.95
141,"Timing Belt: 1.9L Turbo Diesel, TDI (AHU), Jetta, Golf, Passat TDI 96-99.5", 13462,34.95
142,"Fuel Filter: Jetta, Golf 89-99.5, Passat TDI 96-97 - Diesel, Turbo Diesel, TDI", 1452,18.95
143,Exhaust Manifold Nut: Copper 8mm Lock Nut for Installing the Exhaust Manifold, 3561,0.95
144,"Glow Plug: 1.6L Diesel, Rabbit, Jetta, Golf & Many Others 81-92 - Fast", 3413,15.95
145,"Glow Plug Set: 1.5L Diesel Rabbit, Jetta 77-80, 1.6L Turbo Diesel Rabbit, Quantum, Jetta 82-92 - Slow", 18319,39.95
146,"Engine Rebuild Kit: 1.6D Diesel w/Mech Head & 11mm Head Bolts.  Base Kit plus a +.040"" Piston set.", 21276,749.95
147,"Piston Ring Set: 1.5L, 1.6L & 1.6L Turbo Diesel 77-92 - Standard, German Made", 1561,149.95
148,Timing Belt Tensioner Pulley: 1.9L Turbo Diesel & Early TDI(AHU), 16300,49.95
149,"Timing Belt Cover: Jetta, Golf, Passat - 1.9 D/TD/TDI", 18354,69.95
150,"Lifter: Hydraulic 85-96 Gas & Diesel, VR6-12V 92-02", 1267,8.95
151,"Vacuum Pump: 1.9D, 1.9TD, 1.9TDI 93-99.5", 16432,224.95
152,"Valve Guide: 1.5L, 1.6L, 1.7L, 1.8L 8V Gas & Diesel 74-92", 1195,3.95
153,Tool: Valve Shim Removal Pliers - VWs 75-86, 13678,23.95
154,Crank Timing Gear: 1.5/1.6L Diesel 75-82 - Used, 38197,80.00
155,Injection Pump Locking Pin: VW Diesels including early TDIs 77-99, 3507,9.95
156,"Valve: 1.5D, 1.6D, 1.6 Turbo Diesel - Exhaust, w/Mechanical Head", 14799,8.95
157,"Air Filter: Rabbit, Jetta, Golf & Others 81-92 - Diesels", 1393,7.95
158,Piston Set: 1.9TD - Standard, 20578,299.95
159,"Piston Set: 1.6L Turbo Diesel - +.020""/.5mm Oversize, German Kolbenschmidt", 20623,399.95
160,"Tool: Pulley Removal, Water & Power Steering Pumps on 4 Cyl. 77-99.5, exc. New Beetle", 18849,39.95
161,"Coolant Temperature Sensor: Jetta, Golf, Passat & Others 85-99 - Clip-In, ECU", 13313,13.95
162,Turbocharger Gasket: 1.6TD/1.9TD 83-94, 23861,8.95
163,"Oil Pump: Rabbit, Jetta, Golf & Others 81-92 - Diesel, OEM", 1300,134.95
164,"Valve: 1.5D, 1.6D, 1.6 Turbo Diesel - Intake, w/Mechanical Head", 1281,8.95
165,Injector Line: 1.5D/1.6D non-turbos 77-90.5 - #2, 13651,25.95
166,Hylomar: Gasket Dressing and Thread Sealant, 1175,12.95
167,"Seal: Water Cooled VWs 75-99 - Camshaft, Intermediate Shaft, or Front Crank", 1143,3.95
168,"Exhaust Gasket: Between Cyl. Head & Exh. Manifold, Alll Water Cooled 4 Cyl. Gas & Diesel 75-05", 1389,1.95
169,"Fuel Filter: Jetta, Golf 85-88 - Diesel", 5075,16.95
170,Engine Rebuild Kit: 1.6D 12mm Mechanical Heads #1 - Base Kit, 20250,499.95
171,Compression Tester Adapter: Diesels 77-96, 18975,18.95
172,Fuel Line: Diesel Return Line 77-04, 3608,1.95
173,Diesel Fuel Conditioner: Save $10! Stanadyne Case of 12, 20652,109.95
174,Head Gasket Set: 1.9L Diesel & Turbo Diesel 93-96, 18873,59.95
175,Head Gasket: 1.9L Diesel & Turbo Diesel - 2 Notch, 15005,34.95
176,"Oil Pump Baffle: Rabbit, Jetta, Golf 77-92", 40931,29.95
177,Thrust Bearing: Gas & Diesel 4 Cyl engines 87-06, 20757,16.95
178,Piston Set: 1.9L Diesel - Standard Size, 21836,399.95
179,"Valve: 1.6D, W/ Hydraulic Head - Exhaust", 15342,9.95
180,Turbocharger Gasket: 1.6TD/1.9TD 83-96, 12923,8.95
181,Oil Pump: Vanagon Diesel  82-84, 9268,189.95
182,"Cylinder Head Bolt Tool: 12mm, 12 Point (Triple Square) Bit for Diesels 81-06", 3482,9.95
183,"Piston Ring: 1.9D, 1.9TD, 1.9TDI 93-06 - Standard Size", 17823,27.95
184,"Tool: Cylinder Leak Down Tester, All VWs", 18931,59.95
185,Oil Cooler O-Ring: VW oil coolers 83-05 - Cooler to Filter, 19272,3.95
186,"Main Bearing Cap Bolt Set: AAZ/TDI 93-04 - M10 x 80mm, Grade 10 - Set of 10", 22885,38.95
187,"Mount: Rabbit, Jetta 78-84, & Others - Engine, Passenger Side, 74.6mm", 5063,9.95
188,LubroMoly MoS2 Anti-Friction for Engines, 13475,9.95
189,Head Gasket: 1.6L Diesel Hydraulic - 2 Notch, 4373,24.95
190,"Mount: Rabbit, Jetta 78-84, & Others - Engine, Driver Side", 5062,11.95
191,"Fuel Line: Cap, VW Diesel 77-04", 3606,1.45
192,"Mount: Rabbit, Jetta 77-84 & Many Others - Rear, Trans", 5729,8.95
193,Pulley: Intermediate Shaft for 1.9L Diesel & TDI 93-99.5, 16425,209.95
194,Piston Set: 1.6L Turbo Diesel - Standard Size, 14867,299.95
195,"Filter Kit: Jetta, Golf Diesel 85-88 - Oil, Air, Fuel", 20030,36.95
196,"Valve: 1.6D, W/ Hydraulic Head 86-92 - Intake", 10136,9.95
197,Dipstick Funnel: Most VWs 80-99, 10926,5.95
