,name,sku,price
116,"Porsche 356A, 356B, 356C, Rear Wheel  Bearing",900-052-006-00,21.99
117,"Porsche 356A/B Chrome Wheel, 5.5"" x 15"",5 Lug Drum Brk",695-361-101-11,224.99
118,"Porsche Brake Hose, Front, 356A, 356B, 356C, DOT & SAE Approved",644-42-311,16.99
119,"Porsche Brake Line Banjo Bolt, Pre-A, 356A, 356B, 914, 911",999-135-002-02,7.98
120,"Porsche Master Brake Cylinder & Reservoir Kit, ATE, 356A & 356B",356-42-020,159.99
121,"Porsche Master Brake Cylinder & Switch, FTE, 356A & 356B",356-42-020A,129.00
122,"356A & 356B Caliper Bridge Pipe, W/11mm Nut, Porsche 356A & 356B ",356-42-184,11.00
123,"Wheel Cylinder,Rear,Porsche 356,356A & 356B,OEM Quality",644-352-513-01,45.99
124,"Emergency Brake Cable,Rear, Genuine Gemo Made In Germany, 356A & 356B",644-24-238,119.99
125,"Brake Hose Retaining Bracket,German,All Porsche",914-355-665-00,2.25
126,"356 Steel Wheel Rivet Tool, All 356's, 911, 912",HubCap-Rivet-Tool,29.99
127,"Clutch Cable Housing Guide,Gemo German, All 356A",644-23-209,22.99
128,"Clutch Pressure Plate, SACHS, 180mm, 356 & 356A '50-'58, OEM Quality",502-16-014,169.99
129,"Clutch Disc, RIGID Style,180mm,Euro Made,356,356A,356B",616-116-013-00GR,99.99
130,"Clutch 'Sprung Driver' Disc, Pre-A & 356A,Sachs Brazil,180mm",502-16-013BR,69.99
131,"Clutch Disc,RIGID Style,180mm,Pre-A,356A,356B",616-116-013-00BR,69.99
132,"356 Tachometer Drive Cable,Gemo German, Porsche 356 Carrera ",644-741-311-00,49.99
133,"Butterfly Lever, Heater Flap Box Control Unit, Each, Pre-A, 356A, 356B, 356C ",644-211-760-01,24.99
134,"Butterfly Lever, Heater Flap Box Control Unit, Pair, 356A, 356B, 356C ",644-211-760-00,54.99
135,Cam Shaft Plug Bore All 356 & 912 ,539-01-132,17.99
136,"Clutch Cable Clevis Pin, Porsche 356A/B/C,911,912,914",999-166-001-02,1.25
137,"Clutch Cable W/Housing,Gemo German,356 Pre-A -'52",356-423-058,28.99
138,"Clutch Cable,Gemo German, 2025mm, Porsche 356BT6 1963  & All 356C",644-423-401-01,12.99
139,"Clutch Cable,Gemo German, Late 356A, 356BT5 '60-'61, 2015mm",644-423-401-00,12.99
140,"Clutch Cable,Porsche 356A '53 -'58,Gemo German,2057mm",644-423-208-01,12.99
141,"Clutch Release Bearing,Pre-A & 356A,SACHS German",644-16-305,36.99
142,"Generator Belt, V-Belt, Continental OEM",999-192-006-50,12.99
143,"Generator Pre-A & 356A W/External Regulator, Bosch 6 Volt, Re-Manufactured",616-603-101-01,419.99
144,"Heater Flap Cable,Porsche 356A,Gemo German,",644-24-415,10.99
145,"Porsche 356A, 356B, 356C & 912 Fuel Pump Spacer",616-108-441-00,28.99
146,"Porsche 356A, 356B, 356C, Transmission Main Shaft Seal, ELRING German",356-311-113,3.99
