,title,price,sku,product_link
138,43MM SUPER SPORT EL SS143 EXHAUST SYSTEMS BAYWINDOW T2 BUS with Type 1 Engine,"$1,147.18",155-210-05043,https://thevdubfactory.com/collections/all/products/43mm-super-sport-el-ss143-exhaust-systems-baywindow-t2-bus-with-type-1-engine
139,43MM SUPER SPORT EL SS143 EXHAUST SYSTEMS BAYWINDOW T2 BUS with Type 1 Engine,"$1,147.18",155-209-05043,https://thevdubfactory.com/collections/all/products/43mm-super-sport-el-ss143-exhaust-systems-baywindow-t2-bus-with-type-1-engine-1
140,43MM SUPER SPORT EL SS143 EXHAUST SYSTEMS BUG 50/35,"$1,043.31",155-203-05043,https://thevdubfactory.com/collections/all/products/43mm-super-sport-el-ss143-exhaust-systems-bug-50-35
141,43MM SUPER SPORT EL SS143 EXHAUST SYSTEMS SPLIT BUS // USE EL-HEADER-13mm,"$1,043.31",155-207-05043,https://thevdubfactory.com/collections/all/products/43mm-super-sport-el-ss143-exhaust-systems-split-bus-use-el-header-13mm
142,43MM SUPER SPORT EL SS143 EXHAUST SYSTEMS SPLIT BUS // USE EL-HEADER-13mm,"$1,043.31",155-206-05043,https://thevdubfactory.com/collections/all/products/43mm-super-sport-el-ss143-exhaust-systems-split-bus-use-el-header-13mm-1
143,44 HPMX W/STACKS(SINGLE),$301.28,47-1012-2,https://thevdubfactory.com/collections/all/products/44-hpmx-w-stackssingle
144,"44HPMX CARB KIT,PORSCHE",$662.90,48-1292-0,https://thevdubfactory.com/collections/all/products/44hpmx-carb-kit-porsche
145,"44IDF CARB KIT,PORSCHE","$1,109.78",44-1292-0,https://thevdubfactory.com/collections/all/products/44idf-carb-kit-porsche
146,"44MM HEADER, 150MM DIAMETER MUFFLER, MERGE COMP 740 EXHAUST SYSTEM 57/35","$1,368.23",155-203-06044,https://thevdubfactory.com/collections/all/products/44mm-header-150mm-diameter-muffler-merge-comp-740-exhaust-system-57-35
147,44MM VALVE SEATS (4),$36.68,B4-0250-0,https://thevdubfactory.com/collections/all/products/44mm-valve-seats-4
148,"44mm Venturi, For Epc 48-51 & 48 IDA Weber Carburetors",$23.45,43-5621-0,https://thevdubfactory.com/collections/all/products/main-venturi-44mm-ea
149,45MM D-CARB BASE GASKET(2),$2.06,44-1115-0,https://thevdubfactory.com/collections/all/products/45mm-d-carb-base-gasket2
150,45MM D-CARB W/STACKS(DL),$407.12,44-1045-0,https://thevdubfactory.com/collections/all/products/45mm-d-carb-w-stacksdl
151,"46MM AXLE NUT,BLACK,EA",$6.10,211-501-221A,https://thevdubfactory.com/collections/all/products/46mm-axle-nut-black-ea
152,46MM GLAND NUT SOCKET,$11.25,00-5769-0,https://thevdubfactory.com/collections/all/products/46mm-gland-nut-socket
153,48-51 IDA/EPC GASKETS (2),$1.91,00-3396-0,https://thevdubfactory.com/collections/all/products/48-51-ida-epc-gaskets-2
154,48IDA RACE CROSSBAR LINKAGE KIT,$113.12,43-5240-0,https://thevdubfactory.com/collections/all/products/48ida-race-crossbar-lnkg-kit
155,"48MM HEADER, 150MM DIAMETER MUFFLER, MERGE COMP 740 EXHAUST SYSTEM 57/35","$1,588.62",155-203-06048,https://thevdubfactory.com/collections/all/products/48mm-header-150mm-diameter-muffler-merge-comp-740-exhaust-system-57-35
156,48MM SUPER SPORT EL SS143 EXHAUST SYSTEMS BAYWINDOW T2 BUS with Type 1 Engine,"$1,242.29",155-210-05048,https://thevdubfactory.com/collections/all/products/48mm-super-sport-el-ss143-exhaust-systems-baywindow-t2-bus-with-type-1-engine
157,48MM SUPER SPORT EL SS143 EXHAUST SYSTEMS BUG 50/35,"$1,142.11",155-203-05048,https://thevdubfactory.com/collections/all/products/48mm-super-sport-el-ss143-exhaust-systems-bug-50-35
158,48MM SUPER SPORT EL SS143 EXHAUST SYSTEMS SPLIT BUS // USE EL-HEADER-13mm,"$1,142.11",155-207-05048,https://thevdubfactory.com/collections/all/products/48mm-super-sport-el-ss143-exhaust-systems-split-bus-use-el-header-13mm
